chr1	x1	x2	chr2	y1	y2
10	100227364	100227384	10	100424397	100424417
10	100227364	100227384	10	101006673	101006693
10	101605744	101605764	10	101805965	101805985
10	102430926	102430946	10	102503518	102503538
10	102855542	102855562	10	102902171	102902191
10	104263543	104263563	10	104343741	104343761
10	104489178	104489198	10	104661342	104661362
10	104594870	104594890	10	104829549	104829569
10	104594870	104594890	10	105004607	105004627
10	104677351	104677371	10	104829549	104829569
10	104677351	104677371	10	105004607	105004627
10	105472839	105472859	10	105619137	105619157
10	105472839	105472859	10	105969538	105969558
10	107557179	107557199	10	107949202	107949222
10	107710283	107710303	10	107949202	107949222
10	108471260	108471280	10	108741040	108741060
10	108555553	108555573	10	108741040	108741060
10	109169470	109169490	10	109574731	109574751
10	11155314	11155334	10	11312731	11312751
10	112114239	112114259	10	112259395	112259415
10	114481024	114481044	10	115145087	115145107
10	115464999	115465019	10	115863270	115863290
10	11557793	11557813	10	11767394	11767414
10	11557793	11557813	10	11800095	11800115
10	115559531	115559551	10	115863270	115863290
10	118442012	118442032	10	118547746	118547766
10	119256214	119256234	10	120000951	120000971
10	120327975	120327995	10	120560626	120560646
10	122183039	122183059	10	122495477	122495497
10	124058455	124058475	10	124194935	124194955
10	124102329	124102349	10	124194935	124194955
10	124803032	124803052	10	124892670	124892690
10	124803032	124803052	10	125319036	125319056
10	124892670	124892690	10	125727365	125727385
10	124892670	124892690	10	125319036	125319056
10	129514238	129514258	10	129652429	129652449
10	129514238	129514258	10	129809770	129809790
10	129514238	129514258	10	129867798	129867818
10	129833942	129833962	10	129867798	129867818
10	129876934	129876954	10	129948420	129948440
10	131988505	131988525	10	133619530	133619550
10	131988505	131988525	10	133836739	133836759
10	13203347	13203367	10	13344508	13344528
10	134036778	134036798	10	134166295	134166315
10	13414058	13414078	10	13482649	13482669
10	135143409	135143429	10	135333802	135333822
10	13702148	13702168	10	13820166	13820186
10	14541093	14541113	10	14865342	14865362
10	15033491	15033511	10	15148579	15148599
10	22282513	22282533	10	22863077	22863097
10	22282513	22282533	10	23277983	23278003
10	22863077	22863097	10	23277983	23278003
10	23603889	23603909	10	23991988	23992008
10	24283578	24283598	10	24485543	24485563
10	24283578	24283598	10	24808110	24808130
10	24283578	24283598	10	24649632	24649652
10	24931996	24932016	10	25370080	25370100
10	26624179	26624199	10	26846184	26846204
10	26624179	26624199	10	27150213	27150233
10	27179994	27180014	10	27649685	27649705
10	27735158	27735178	10	27945715	27945735
10	27847625	27847645	10	27945715	27945735
10	28917228	28917248	10	29593652	29593672
10	28952953	28952973	10	29280853	29280873
10	28952953	28952973	10	29593652	29593672
10	2970625	2970645	10	3085918	3085938
10	30976777	30976797	10	31015890	31015910
10	31015890	31015910	10	32097771	32097791
10	31072958	31072978	10	32097771	32097791
10	32545761	32545781	10	32635261	32635281
10	3281983	3282003	10	4698960	4698980
10	33084690	33084710	10	33297825	33297845
10	33084690	33084710	10	33444929	33444949
10	35529115	35529135	10	35852404	35852424
10	38277627	38277647	10	38655181	38655201
10	44167265	44167285	10	44882175	44882195
10	44167265	44167285	10	45360448	45360468
10	45428313	45428333	10	45470559	45470579
10	4892012	4892032	10	5325641	5325661
10	4892012	4892032	10	5426160	5426180
10	49423684	49423704	10	49497873	49497893
